#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
  13200      5.55e-01    6.24e-01      5.82e-02    6.20e-02      7.20e-02    1.86e-01      1.79e-01    1.16e-01    1.2e-06
  13300      5.31e-01    8.43e-01      3.86e-02    1.39e-02      1.64e-01    1.80e-01      9.67e-02    1.94e-01    1.1e-06
  13400      9.01e-01    6.01e-01      3.28e-02    1.18e-01      1.25e-01    4.99e-02      1.81e-01    1.73e-01    1.1e-06
  13500      9.72e-01    7.71e-01      4.41e-02    5.07e-03      1.89e-01    1.62e-01      2.16e-01    1.31e-01    1.0e-06
  13600      1.17e+00    1.32e+00      1.42e-02    4.12e-02      2.20e-01    2.69e-01      2.18e-01    3.06e-01    9.5e-07
  13700      7.81e-01    1.23e+00      4.79e-02    8.96e-03      2.01e-01    2.25e-01      1.63e-01    2.13e-01    9.1e-07
  13800      1.07e+00    6.38e-01      7.90e-03    4.32e-02      1.86e-01    9.37e-02      1.87e-01    2.14e-01    8.6e-07
  13900      5.39e-01    1.09e+00      5.91e-02    7.76e-03      1.14e-01    1.63e-01      1.19e-01    1.92e-01    8.2e-07
  14000      7.69e-01    5.26e-01      2.39e-02    1.27e-01      1.55e-01    8.86e-03      1.50e-01    1.35e-01    7.8e-07
  14100      5.24e-01    5.47e-01      2.77e-02    5.51e-02      1.32e-01    1.64e-01      1.11e-01    1.05e-01    7.4e-07
  14200      7.05e-01    7.98e-01      3.48e-02    6.47e-02      1.80e-01    2.15e-01      1.34e-01    1.66e-01    7.0e-07
  14300      5.03e-01    8.71e-01      6.43e-02    6.29e-02      1.39e-01    2.01e-01      9.88e-02    1.91e-01    6.7e-07
  14400      9.07e-01    4.75e-01      2.59e-02    1.02e-01      1.90e-01    6.77e-02      2.19e-01    1.27e-01    6.3e-07
  14500      9.53e-01    1.12e+00      1.82e-02    3.70e-02      1.97e-01    2.09e-01      1.95e-01    2.64e-01    6.0e-07
